,Open,High,Low,Close,Volume,Number of trades
0,4261.48,4280.56,4261.32,4261.45,11.308926,49
1,4280.0,4313.62,4267.99,4308.83,35.872083,122
2,4308.83,4328.69,4304.31,4320.0,21.048648,73
3,4320.0,4320.0,4291.37,4315.32,2.186268,29
4,4330.29,4330.29,4309.37,4311.02,3.566277,14
5,4328.65,4345.45,4319.83,4324.35,3.663414,22
6,4316.62,4316.62,4291.38,4291.38,0.040459,2
7,4291.39,4349.99,4287.41,4349.99,4.40279,23
8,4333.32,4377.85,4333.32,4360.7,0.84226,18
9,4360.7,4360.7,4360.0,4360.69,0.130547,10
10,4360.0,4360.0,4360.0,4360.0,2.295001,10
11,4360.0,4445.78,4360.0,4444.0,8.468622,33
12,4441.1,4443.0,4399.81,4440.0,5.274331,21
13,4400.0,4470.0,4400.0,4460.0,19.591068,61
14,4460.0,4485.39,4454.72,4485.39,24.929329,57
15,4485.39,4485.39,4427.3,4427.3,2.088724,38
16,4436.06,4449.56,4418.12,4418.12,21.095547,77
17,4417.0,4431.13,4411.0,4411.0,1.936851,31
18,4411.0,4445.88,4411.0,4440.0,3.718318,24
19,4435.12,4459.0,4425.21,4459.0,27.594118,94
20,4459.0,4469.46,4435.93,4467.81,21.648809,104
21,4467.81,4485.39,4452.57,4470.82,30.087088,130
22,4470.82,4470.82,4412.1,4432.2,22.594839,161
23,4432.2,4444.9,4333.42,4352.34,45.886431,237
24,4352.33,4354.35,4255.3,4290.17,53.209948,299
25,4290.17,4354.18,4290.17,4354.18,14.248843,99
26,4354.18,4354.84,4301.5,4335.28,21.401496,87
27,4335.28,4354.84,4235.45,4289.24,38.263416,105
28,4289.24,4302.45,4218.68,4287.69,24.946195,96
29,4287.69,4302.45,4222.97,4256.97,26.328968,98
30,4241.91,4302.44,4200.74,4287.61,33.16595,102
31,4287.61,4335.3,4287.61,4325.23,13.5449,100
32,4307.56,4325.23,4261.0,4273.16,26.16558,119
33,4258.56,4354.84,4258.56,4346.74,22.809892,128
34,4346.74,4369.69,4315.85,4349.33,29.292665,122
35,4349.33,4369.69,4309.23,4333.55,32.480371,126
36,4333.55,4349.63,4310.0,4326.29,26.241174,125
37,4326.28,4359.13,4319.11,4336.8,31.134968,111
38,4313.39,4337.38,4300.0,4327.89,39.337249,122
39,4327.89,4332.26,4280.82,4285.08,42.308014,148
40,4285.08,4309.92,4267.78,4292.11,26.371471,112
41,4292.11,4340.62,4228.76,4286.53,56.064003,156
42,4269.36,4269.36,4134.61,4214.97,53.313177,131
43,4214.97,4269.36,4200.6,4243.59,22.371706,112
44,4251.95,4298.64,4234.0,4278.05,39.571955,126
45,4278.05,4278.05,4242.75,4267.59,14.499382,93
46,4244.77,4308.7,4244.77,4244.77,29.093027,158
47,4244.77,4296.6,4234.0,4292.39,34.908322,148
48,4292.39,4292.39,4234.43,4245.0,25.454966,140
49,4245.0,4292.39,4234.67,4287.92,25.342549,127
50,4287.92,4319.93,4250.04,4317.21,35.170531,172
51,4317.21,4340.62,4274.16,4313.56,28.998755,195
52,4313.56,4316.98,4262.32,4289.09,24.411926,103
53,4289.09,4304.66,4247.75,4279.46,39.823498,195
54,4279.46,4304.66,4270.48,4286.05,33.833827,110
55,4286.05,4304.67,4270.48,4300.25,35.352977,93
56,4285.0,4307.41,4284.33,4306.41,36.146521,119
57,4306.41,4320.71,4259.85,4282.73,38.683328,128
58,4265.33,4327.25,4265.33,4307.01,26.419827,101
59,4317.6,4317.6,4276.89,4304.15,19.233329,127
60,4304.15,4349.0,4296.04,4349.0,28.417819,103
61,4330.26,4371.52,4317.91,4356.31,23.145856,124
62,4356.31,4357.37,4327.0,4330.0,12.303876,96
63,4330.0,4343.23,4302.72,4340.31,11.789573,82
64,4320.52,4340.31,4320.52,4340.3,13.917707,80
65,4340.3,4340.3,4287.79,4331.71,1.20125,16
66,4302.97,4318.16,4273.74,4278.0,11.958861,45
67,4278.0,4293.65,4221.05,4293.09,34.574906,132
68,4293.09,4293.09,4224.72,4256.79,41.871411,107
69,4229.42,4259.4,4193.7,4259.4,32.497532,118
70,4259.4,4259.4,4209.5,4229.86,18.317684,94
71,4200.0,4249.51,4200.0,4236.89,21.630033,105
72,4234.54,4275.63,4234.54,4273.78,20.979757,103
73,4273.78,4283.79,4250.34,4250.34,24.059067,94
74,4250.34,4250.34,4197.73,4197.73,42.514091,95
75,4176.64,4197.73,4066.53,4193.35,20.177375,69
76,4171.17,4297.75,4128.0,4173.0,16.503684,97
77,4172.99,4177.41,4117.41,4117.41,8.81497,77
78,4086.28,4131.0,4015.7,4066.21,24.742744,88
79,4066.21,4136.48,4051.67,4136.28,35.855282,130
80,4135.0,4135.0,4010.9,4010.9,9.03771,56
81,4043.92,4061.0,3981.13,4021.11,10.930327,99
82,4015.4,4015.4,3949.36,3982.87,7.135815,63
83,3982.87,3982.87,3938.77,3975.69,7.602816,91
84,3996.92,4094.0,3938.77,4094.0,24.603525,154
85,4062.21,4131.83,4062.21,4113.75,5.30268,55
86,4106.35,4136.48,4085.88,4119.42,20.900551,84
87,4119.42,4120.42,4091.53,4108.37,24.036285,130
88,4108.37,4135.47,4084.28,4125.44,22.313652,119
89,4125.44,4178.31,4110.47,4163.49,18.995225,77
90,4163.49,4178.31,4143.11,4156.99,3.744308,50
91,4156.99,4184.69,4148.53,4148.53,25.090869,96
92,4148.53,4168.07,4148.53,4168.07,13.347959,64
93,4168.07,4184.0,4156.39,4156.39,5.406515,57
94,4180.0,4180.0,4120.0,4156.0,8.589848,77
95,4121.0,4156.0,4103.52,4138.55,11.022072,45
96,4138.5,4156.0,4076.63,4130.0,14.960681,74
97,4130.0,4140.0,4046.26,4068.26,2.392551,24
98,4123.95,4123.95,4047.71,4047.71,8.552404,41
99,4047.71,4082.27,4027.83,4077.0,3.96179,25
